UNIVERSIDAD,CENTRO,TÍTULO,"TIPO DE UNIV/ CENTRO","OFERTA DE PLAZAS 2019/2020","NOTA DE CORTE 2019/2020","NOTA MEDIA DE ADMISIÓN 2019/2020","RENDIM. MEDIO 2018/2019","CRÉDITOS NECESAR.","PRECIO DEL CRÉDITO 2019/2020" 
"Universidad Autónoma de Barcelona","Facultad de Ciencias Políticas y Sociología","Grado en Relaciones Internacionales",Pública / Propio,50,"11,168","12,03",94 %,240,"25,27 €" 
"Universidad Carlos III de Madrid","Facultad de Ciencias Sociales y Jurídicas","Grado en Administración de Empresas// Bachelor in Business Administration",Pública / Propio,265,"11,152","11,67",90 %,240,"21,39 €" 
"Universidad Autónoma de Barcelona",Facultad de Biociencias,Grado en Microbiología,Pública / Propio,60,"11,15","11,67",90 %,240,"35,77 €" 
"Universidad Pública de Navarra","Escuela Técnica Superior de Ingeniería Agronómica y Biociencias",Grado en Biotecnología,Pública / Propio,40,"11,15","12,02",87 %,240,"23,05 €" 
Universidad de Alicante,"Facultad de Ciencias de la Salud",Grado en Enfermería,Pública / Propio,200,"11,14",n/d,97 %,240,"21,16 €" 
"Universitat de València (Estudi General)","Facultat d'Infermeria i Podologia",Grado en Enfermería,Pública / Propio,325,"11,14","10,78",92 %,240,"21,16 €" 
"Universidad de Zaragoza",Facultad de Ciencias,Grado en Matemáticas,Pública / Propio,66,"11,129","12,23",74 %,240,"16,20 €" 
"Universidad Complutense de Madrid","Facultad de Enfermería, Fisioterapia y Podología",Grado en Enfermería,Pública / Propio,250,"11,108","11,53",92 %,240,"26,14 €" 
"Universidad Pública de Navarra","Escuela Técnica Superior de Ingeniería Industrial, Informática y Telecomunicación","Grado en Ingeniería Biomédica",Pública / Propio,25,"11,104","11,93",86 %,240,"23,05 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea","Escuela Universitaria de Enfermería de Vitoria- Gasteiz",Grado en Enfermería,Pública / Adscrito,80,"11,096","11,44",96 %,240, 
"Universidad Carlos III de Madrid","Escuela Politécnica Superior","Grado en Ingeniería en Tecnologías Industriales",Pública / Propio,210,"11,084","11,69",84 %,240,"24,55 €" 
Universidad de León,"Escuela de Ingenierías Industrial, Informática y Aeroespacial","Grado en Ingeniería Aeroespacial",Pública / Propio,60,"11,075","12,06",82 %,240,"21,01 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Madrid","Grado en Relaciones Internacionales",Pública / Propio,65,"11,074","11,77",90 %,240,"21,39 €" 
Universidad de Málaga,"Escuela de Ingenierías Industriales","Grado en Ingeniería Electrónica, Robótica y Mecatrónica",Pública / Propio,65,"11,069","11,72",72 %,240,"12,62 €" 
Universidad de Murcia,"Facultad de Matemáticas",Grado en Matemáticas,Pública / Propio,60,"11,067","12,19",60 %,240,"14,38 €" 
Universidad de Cádiz,"Escuela Superior de Ingeniería","Grado en Ingeniería Aeroespacial",Pública / Propio,70,"11,06","11,8",66 %,240,"12,62 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingeniería y Diseño Industrial","Grado en Ingeniería Mecánica",Pública / Propio,110,"11,059","11,36",72 %,240,"24,55 €" 
Universidad de Málaga,"Facultad de Filosofía y Letras","Grado en Traducción e Interpretación",Pública / Propio,150,"11,043","11,04",90 %,240,"12,62 €" 
"Universidad de Santiago de Compostela",Facultad de Enfermería,Grado en Enfermería,Pública / Propio,150,"11,04","11,79",91 %,240,"13,93 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea","Facultad de Medicina y Enfermería. Sección Guipuzcoa",Grado en Enfermería,Pública / Propio,120,"11,034","11,34",96 %,240,"19,84 €" 
"Universidad Carlos III de Madrid","Facultad de Ciencias Sociales y Jurídicas","Grado en Estadística y Empresa",Pública / Propio,60,"11,033","11,43",86 %,240,"21,39 €" 
"Universidad de Cantabria","Centro Internacional de Estudios Superiores del Español (CIESE- Comillas)","Grado en Estudios Hispánicos",Pública / Adscrito,50,"11,031",n/d,94 %,240, 
"Universidad de Barcelona",Facultad de Biología,Grado en Bioquímica,Pública / Propio,60,"11,028","12,14",94 %,240,"35,77 €" 
"Universidad Rey Juan Carlos","Escuela Técnica Superior de Ingeniería de Telecomunicación. Campus de Fuenlabrada","Grado en Ingeniería Aeroespacial en Aeronavegación",Pública / Propio,35,"11,018","11,14",65 %,240,"24,55 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Madrid","Grado en Diseño Integral y Gestión de la Imagen",Pública / Propio,25,"11,013","11,59",83 %,240,"21,39 €" 
Universidad de Sevilla,"Centro de Enfermería de la Cruz Roja",Grado en Enfermería,Pública / Adscrito,70,"11,01","11,23",88 %,240, 
"Universidad Complutense de Madrid",Facultad de Farmacia,Grado en Farmacia,Pública / Propio,375,"11,003","11,78",82 %,300,"26,14 €" 
"Universidad Autónoma de Barcelona",Facultad de Biociencias,Grado en Biotecnología,Pública / Propio,80,"11,001","11,63",94 %,240,"35,77 €" 
"Universidad Politécnica de Madrid","Escuela Técnica Superior de Ingenieros Industriales","Grado en Ingeniería Química",Pública / Propio,60,"10,993","11,63",65 %,240,"24,55 €" 
Universidad de Sevilla,"Facultad de Matemáticas",Grado en Matemáticas,Pública / Propio,132,"10,987","11,95",62 %,240,"12,62 €" 
"Universidad de Granada","Facultad de Ciencias del Deporte","Grado en Ciencias de la Actividad Física y del Deporte",Pública / Propio,190,"10,974","11,39",88 %,240,"12,62 €" 
"Universidad Autónoma de Barcelona","Facultad de Ciencias de la Comunicación","Grado en Publicidad y Relaciones Públicas",Pública / Propio,80,"10,972","11,35",97 %,240,"35,77 €" 
Universidad de Alicante,"Escuela Politécnica Superior","Grado en Ingeniería Robótica",Pública / Propio,60,"10,97","11,45",81 %,240,"20,27 €" 
Universidad de Murcia,Facultad de Medicina,Grado en Farmacia,Pública / Propio,50,"10,966","11,78",77 %,300,"16,78 €" 
"Universidad de La Laguna","Facultad de Ciencias de la Salud",Grado en Fisioterapia,Pública / Propio,60,"10,964","11,32",90 %,240,"14,59 €" 
Universidad de Oviedo,"Facultad de Enfermería de Gijón",Grado en Enfermería,Pública / Adscrito,72,"10,956",n/d,88 %,240, 
"Universidad Rey Juan Carlos","Facultad de Ciencias de la Salud. Campus de Alcorcón",Grado en Enfermería,Pública / Propio,85,"10,948","11,13",92 %,240,"26,14 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias de la Salud. Campus de Alcorcón",Grado en Fisioterapia,Pública / Propio,140,"10,937","10,94",91 %,240,"26,14 €" 
"Universidad Carlos III de Madrid","Escuela Politécnica Superior","Grado en Energy Engineering/Ingeniería de la Energía",Pública / Propio,40,"10,921","11,52",76 %,240,"24,55 €" 
"Universidad Autónoma de Barcelona",Facultad de Ciencias,"Grado en Matemática Computacional y Analítica de Datos",Pública / Propio,40,"10,92","11,52",70 %,240,"39,53 €" 
"Universidad de Santiago de Compostela","Escuela Técnica Superior de Ingeniería","Grado en Ingeniería Informática",Pública / Propio,66,"10,902","11,67",79 %,240,"13,93 €" 
Universidad de Málaga,Facultad de Ciencias,Grado en Matemáticas,Pública / Propio,75,"10,901","11,82",62 %,240,"12,62 €" 
"Universidad de Zaragoza","Facultad de Ciencias de la Salud",Grado en Enfermería,Pública / Propio,160,"10,898","11,47",96 %,240,"23,39 €" 
Universidad de Alcalá,"Facultad de Medicina y Ciencias de la Salud",Grado en Enfermería,Pública / Propio,100,"10,882","11,35",96 %,240,"26,14 €" 
"Universidad de Valladolid",Facultad de Ciencias,Grado en Física,Pública / Propio,50,"10,881","12,02",73 %,240,"14,05 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea","Facultad de Ciencia y Tecnología",Grado en Biología,Pública / Propio,90,"10,88","11,7",83 %,240,"19,84 €" 
"Universidad Pompeu Fabra",Escuela de Ingeniería,"Grado en Ingeniería Matemática en",Pública / Propio,40,"10,876","11,97",91 %,240,"39,53 €" 
"",,"Ciencia de Datos / Mathematical Engineering on Data Science",,,,,,, 
Universidad de Cádiz,"Facultad de Enfermería y Fisioterapia",Grado en Enfermería,Pública / Propio,125,"10,855","11,46",94 %,240,"12,62 €" 
"Universidad de La Rioja","Escuela Universitaria de Enfermería",Grado en Enfermería,Pública / Adscrito,75,"10,852","10,85",94 %,240, 
"Universidad de A Coruña",Facultad de Fisioterapia,Grado en Fisioterapia,Pública / Propio,60,"10,844","11,24",88 %,240,"13,93 €" 
"Universidad Pablo de Olavide","Facultad de Humanidades","Grado en Traducción e Interpretación",Pública / Propio,185,"10,829","11,78",91 %,240,"12,62 €" 
"Universidad Autónoma de Madrid","Facultad de Filosofía y Letras","Grado en Estudios Internacionales",Pública / Propio,82,"10,826","11,61",92 %,240,"21,39 €" 
Universidad de Murcia,Facultad de Química,Grado en Bioquímica,Pública / Propio,70,"10,825","12,12",86 %,240,"16,78 €" 
"Universidad de Zaragoza","Facultad de Filosofía y Letras",Grado en Periodismo,Pública / Propio,60,"10,82","11,81",93 %,240,"21,66 €" 
"Universidad de Extremadura","Facultad de Medicina y Ciencias de la Salud",Grado en Fisioterapia,Pública / Propio,65,"10,795","11,73",84 %,240,"18,51 €" 
"Universidad Pompeu Fabra","Facultad de Economía y Empresa","Grado en Ciencias Empresariales - Management",Pública / Propio,110,"10,784","11,46",92 %,240,"25,27 €" 
"Universidad Autónoma de Barcelona",Facultad de Medicina,Grado en Enfermería,Pública / Propio,90,"10,766","11,19",92 %,240,"39,53 €" 
"Universidad de Cantabria",Facultad de Ciencias,Grado en Matemáticas,Pública / Propio,60,"10,76","11,55",69 %,240,"12,62 €" 
"Universitat de València (Estudi General)",Facultat de Fisioteràpia,Grado en Fisioterapia,Pública / Propio,160,"10,76","10,92",89 %,240,"21,16 €" 
Universidad de Murcia,Facultad de Química,Grado en Física,Pública / Propio,70,"10,756","11,78",67 %,240,"16,78 €" 
"Universitat Politècnica de València","Escuela Técnica Superior de Ingeniería Informática","Grado en Ciencia de Datos",Pública / Propio,75,"10,75","11,17",94 %,240,"20,27 €" 
"Universidad Pompeu Fabra","Facultad de Economía y Empresa","Grado en Administración y Dirección de Empresas",Pública / Propio,170,"10,744","11,42",90 %,240,"25,27 €" 
"Universidad de Cantabria",Facultad de Ciencias,Grado en Física,Pública / Propio,60,"10,731","11,6",83 %,240,"12,62 €" 
"Universidad de Cantabria",Facultad de Enfermería,Grado en Enfermería,Pública / Propio,75,"10,73","11,34",97 %,240,"16,07 €" 
"Universidad de Zaragoza","Facultad de Ciencias de la Salud",Grado en Fisioterapia,Pública / Propio,60,"10,725","11,26",93 %,240,"23,39 €" 
"Universitat de València (Estudi General)","Facultad de Filología, Traducción y Comunicación",Grado en Periodismo,Pública / Propio,80,"10,72","11,24",91 %,240,"14,96 €" 
"Universitat de València (Estudi General)","Facultad de Ciencias Biológicas",Grado en Biología,Pública / Propio,128,"10,72","11,2",88 %,240,"20,27 €" 
Universidad de Cádiz,"Facultad de Enfermería y Fisioterapia. Sede de Jerez",Grado en Enfermería,Pública / Propio,61,"10,72","11,06",94 %,240,"12,62 €" 
"Universitat de València (Estudi General)",Facultad de Farmacia,Grado en Farmacia,Pública / Propio,208,"10,72","10,9",79 %,300,"21,16 €" 
Universidad de Murcia,Facultad de Veterinaria,Grado en Veterinaria,Pública / Propio,90,"10,712","11,51",81 %,300,"16,78 €" 
Universidad de Oviedo,"Facultad de Medicina y Ciencias de la Salud",Grado en Fisioterapia,Pública / Propio,64,"10,71",n/d,87 %,240,"15,70 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea","Facultad de Ciencia y Tecnología","Grado en Ingeniería Electrónica",Pública / Propio,40,"10,706","11,3",62 %,240,"19,19 €" 
"Universidad Autónoma de Barcelona",Facultad de Biociencias,Grado en Biología,Pública / Propio,80,"10,702","11,33",93 %,240,"35,77 €" 
"Universidad de Las Palmas de Gran Canaria",Facultad de Veterinaria,Grado en Veterinaria,Pública / Propio,72,"10,679","11,04",84 %,300,"14,59 €" 
"Universidad Complutense de Madrid",Facultad de Informática,"Grado en Desarrollo de Videojuegos",Pública / Propio,50,"10,667","11,07",78 %,240,"24,55 €" 
Universidad de Jaén,"Facultad de Ciencias de la Salud",Grado en Fisioterapia,Pública / Propio,75,"10,661","10,84",97 %,240,"12,62 €" 
"Universidad de Barcelona","Facultad de Economía y Empresa","Grado en Empresa Internacional",Pública / Propio,80,"10,66","11,6",93 %,240,"25,27 €" 
Universidad de Vigo,"Escuela de Ingeniería Industrial","Grado en Ingeniería Biomédica",Pública / Propio,50,"10,66","11,51",86 %,240,"13,93 €" 
"Universidad de Barcelona",Facultad de Biología,Grado en Biología,Pública / Propio,160,"10,647","11,33",87 %,240,"35,77 €" 
"Universidad de Extremadura",Facultad de Veterinaria,Grado en Veterinaria,Pública / Propio,95,"10,632","11,3",76 %,300,"18,51 €" 
"Universidad de Salamanca","Facultad de Enfermería y Fisioterapia",Grado en Enfermería,Pública / Propio,-,-,"11,17",94 %,240,"21,01 €" 
"Universidad Pompeu Fabra",Facultad de Derecho,Grado en Derecho,Pública / Propio,260,"10,618","11,6",91 %,240,"25,27 €" 
Universidad de Alicante,Facultad de Derecho,"Grado en Relaciones Internacionales",Pública / Propio,70,"10,61","10,61",93 %,240,"14,96 €" 
"Universidad de Salamanca","Facultad de Enfermería y Fisioterapia",Grado en Fisioterapia,Pública / Propio,-,-,"11,3",95 %,240,"19,37 €" 
Universidad de León,Facultad de Veterinaria,Grado en Veterinaria,Pública / Propio,100,"10,605","11,2",81 %,300,"22,93 €" 
"Universidad del País Vasco/Euskal Herriko Unibertsitatea","Facultad de Educación y Deporte","Grado en Ciencias de la Actividad Física y del Deporte",Pública / Propio,100,"10,604","11,18",87 %,240,"19,19 €" 
"Universidad Jaume I de Castellón","Facultad de Ciencias de la Salud",Grado en Enfermería,Pública / Propio,120,"10,6","10,6",89 %,240,"21,16 €" 
Universidad de Alcalá,"Facultad de Ciencias Económicas, Empresariales y Turismo","Grado en Economía y Negocios Internacionales",Pública / Propio,100,"10,586","11,41",87 %,240,"21,39 €" 
"Universidad de A Coruña","Escuela Universitaria de Enfermería A Coruña",Grado en Enfermería,Pública / Adscrito,60,"10,572","11,24",92 %,240, 
Universidad de Murcia,Facultad de Enfermería,Grado en Enfermería,Pública / Propio,216,"10,57","11,42",90 %,240,"16,78 €" 
"Universidad Autónoma de Barcelona",Facultad de Biociencias,"Grado en Biología Ambiental",Pública / Propio,60,"10,568","11,4",94 %,240,"35,77 €" 
Universidad de Almería,"Facultad de Ciencias de la Salud",Grado en Enfermería,Pública / Propio,130,"10,566","11,05",90 %,240,"12,62 €" 
"Universidad de Córdoba","Facultad de Filosofía y Letras","Grado en Traducción e Interpretación",Pública / Propio,95,"10,565","10,74",92 %,240,"12,62 €" 
"Universidad Carlos III de Madrid","Facultad de Ciencias Sociales y Jurídicas. Sección Colmenarejo","Grado en Administración de Empresas// Bachelor in Business Administration",Pública / Propio,50,"10,56","10,82",90 %,240,"21,39 €" 
"Universidad de Zaragoza",Facultad de Veterinaria,Grado en Veterinaria,Pública / Propio,146,"10,56","11,35",87 %,300,"23,39 €" 
"Universidad de Valladolid",Facultad de Enfermería,Grado en Enfermería,Pública / Propio,130,"10,56","11,24",91 %,240,"21,01 €" 
"Universidad Carlos III de Madrid","Facultad de Ciencias Sociales y Jurídicas","Grado en Finanzas y Contabilidad/ Bachelor in Finance and Accounting",Pública / Propio,100,"10,55","11,13",84 %,240,"21,39 €" 
Universidad de Sevilla,"Facultad de Ciencias de la Educación","Grado en Ciencias de la Actividad Física y del Deporte",Pública / Propio,120,"10,54","11,07",83 %,240,"12,62 €" 
Universidad de Alcalá,"Facultad de Medicina y Ciencias de la Salud, Sección Guadalajara",Grado en Enfermería,Pública / Propio,75,"10,534","10,53",96 %,240,"26,14 €" 
"Universidad de Extremadura",Facultad de Veterinaria,Grado en Bioquímica,Pública / Propio,40,"10,533","11,9",86 %,240,"15,70 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Fuenlabrada","Grado en Diseño Integral y Gestión de la Imagen",Pública / Propio,30,"10,532","11,13",83 %,240,"21,39 €" 
Universidad de Cádiz,"Facultad de Ciencias de la Educación","Grado en Ciencias de la Actividad Física y del Deporte",Pública / Propio,75,"10,529","10,6",87 %,240,"12,62 €" 
Universidad de Jaén,"Facultad de Ciencias de la Salud",Grado en Enfermería,Pública / Propio,140,"10,524","11,21",96 %,240,"12,62 €" 
Universidad de Sevilla,"Centro de Enfermería San Juan de Dios",Grado en Enfermería,Pública / Adscrito,75,"10,52","10,83",88 %,240, 
"Universidad Pablo de Olavide","Facultad de Ciencias Experimentales","Grado en Nutrición Humana y Dietética",Pública / Propio,60,"10,514","11,05",91 %,240,"12,62 €" 
"Universidad de Santiago de Compostela",Facultad de Veterinaria,Grado en Veterinaria,Pública / Propio,110,"10,51","10,88",78 %,300,"13,93 €" 
"Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Fuenlabrada","Grado en Relaciones Internacionales",Pública / Propio,70,"10,5","11,14",90 %,240,"21,39 €" 
"Universidad Jaume I de Castellón","Escuela Superior de Tecnología y Ciencias Experimentales","Grado en Matemática Computacional",Pública / Propio,30,"10,5","10,87",72 %,240,"20,27 €" 
"Universitat Politècnica de València","Escuela Técnica Superior de Ingeniería del Diseño","Grado en Ingeniería en Diseño Industrial y Desarrollo de Productos",Pública / Propio,140,"10,5","11,29",90 %,240,"20,27 €" 
